"Junior аналитик данных; ПАО Московская Биржа; Москва, ; Охотный ряд"
"Junior Аналитик данных; Carcade Leasing; Москва, ; Марксистская"
Аналитик (junior); 55 000 – 60 000 ₽; ООО Макс Групп; Москва
Junior Системный аналитик; ООО АФЛТ-Системс; Москва
"Fresh Graduate - Junior Data Analysis (based in Beijing, China); 1 200 – 2 000 $; WISELINK CO.,LTD.; Москва"
Junior Data Engineer; Сбер. Data Science; Москва
Junior Data Analyst; Сбер. Data Science; Москва
Junior/Middle Data Scientist (команда Персонализация СболПРО); Сбер для экспертов; Москва
Data Analyst / Data Scientist (Junior/Junior+); Kept (Кэпт); Москва
Junior Data Scientist; Samokat.tech; Москва
"Fresh Graduate - Junior Product Analyst (in Beijing, China); 1 200 – 2 000 $; WISELINK CO.,LTD.; Москва"
"Эконометрист (junior data scientist); Аналитический центр при Правительстве Российской Федерации; Москва, ; Киевская;  и еще 1 "
"Junior iOS разработчик; от 50 000 ₽; Сервис Руки; Москва, ; Аэропорт"
Junior Product Manager; IDF Eurasia; Москва
"Junior HR manager; АДВ; Москва, ; Павелецкая;  и еще 1 "
Junior CPA-менеджер; Skillfactory; Москва
